hour,open,high,low,close,volume
2018/07/14 13:00:00,430.63,431.97,430.15,431.35,4985.16187
2018/07/14 14:00:00,431.36,434.0,431.2,432.66,4411.8716
2018/07/14 15:00:00,432.66,433.42,430.51,431.48,2369.43172
2018/07/14 16:00:00,431.48,433.01,430.61,432.42,3537.29925
2018/07/14 17:00:00,432.34,432.93,431.2,432.06,3349.26173
2018/07/14 18:00:00,432.12,432.75,428.26,430.49,5780.85355
2018/07/14 19:00:00,430.4,431.47,429.99,431.31,4096.83698
2018/07/14 20:00:00,431.47,432.86,431.06,432.58,2934.14265
2018/07/14 21:00:00,432.65,435.0,432.48,433.35,6331.77857
2018/07/14 22:00:00,433.54,434.21,433.0,434.1,4884.843910000001
2018/07/14 23:00:00,433.99,436.5,433.85,435.9,6805.30605
2018/07/15 00:00:00,435.9,436.74,435.0,436.39,4209.29539
2018/07/15 01:00:00,436.4,439.24,435.08,436.35,8402.21726
2018/07/15 02:00:00,436.69,437.49,435.5,436.37,6439.43771
2018/07/15 03:00:00,436.34,437.95,431.83,433.24,7318.4598
2018/07/15 04:00:00,433.24,435.63,431.13,434.92,5223.5616899999995
2018/07/15 05:00:00,434.91,440.0,430.3,435.24,7224.827609999998
2018/07/15 06:00:00,435.21,436.44,433.77,434.1,2681.58822
2018/07/15 07:00:00,434.01,435.04,432.04,433.29,2127.38171
2018/07/15 08:00:00,433.28,434.27,433.06,433.19,4473.54967
2018/07/15 09:00:00,433.2,433.98,431.0,432.49,2971.55572
2018/07/15 10:00:00,432.49,432.58,430.52,431.83,5149.02394
2018/07/15 11:00:00,431.92,432.83,431.33,432.34,2749.60791
2018/07/15 12:00:00,432.33,433.8,432.01,433.5,5382.87599
2018/07/15 13:00:00,433.41,436.97,433.12,435.9,5739.8781899999985
2018/07/15 14:00:00,435.83,436.98,435.47,436.83,9413.609209999999
2018/07/15 15:00:00,436.81,437.48,436.11,436.72,5555.46389
2018/07/15 16:00:00,436.56,436.98,435.45,436.71,7702.0721
2018/07/15 17:00:00,436.66,440.88,436.16,439.4,6338.46558
2018/07/15 18:00:00,439.42,441.01,438.58,440.15,4723.2563
2018/07/15 19:00:00,440.15,447.94,440.04,444.45,6535.78546
2018/07/15 20:00:00,444.46,448.45,444.2,447.09,4629.98798
2018/07/15 21:00:00,447.08,447.69,444.32,444.58,8389.93411
2018/07/15 22:00:00,444.38,447.0,443.65,446.54,7525.590270000002
2018/07/15 23:00:00,446.61,447.45,444.96,446.31,7276.157709999998
2018/07/16 00:00:00,446.24,452.99,446.06,452.96,8167.59456
2018/07/16 01:00:00,452.86,455.0,449.03,451.08,6714.30268
2018/07/16 02:00:00,451.09,451.31,448.21,449.47,3683.2759200000014
2018/07/16 03:00:00,449.59,450.0,448.0,449.6,7970.715920000002
2018/07/16 04:00:00,449.6,450.28,449.15,450.19,6871.525159999999
2018/07/16 05:00:00,450.09,453.46,449.86,452.76,5390.05485
2018/07/16 06:00:00,452.82,453.65,451.5,452.69,4173.32845
2018/07/16 07:00:00,452.58,452.95,448.41,449.6,3236.86006
2018/07/16 08:00:00,449.59,450.35,447.66,449.78,4124.348520000001
2018/07/16 09:00:00,449.79,451.77,447.13,448.18,4469.62262
2018/07/16 10:00:00,448.22,448.26,446.0,446.0,5170.70646
2018/07/16 11:00:00,446.01,446.81,444.03,446.42,3846.3086299999995
2018/07/16 12:00:00,446.27,448.3,446.24,447.58,5284.16165
2018/07/16 13:00:00,447.67,447.84,446.25,446.98,4088.94303
2018/07/16 14:00:00,447.04,448.77,446.5,448.35,2558.85225
2018/07/16 15:00:00,448.38,455.0,448.13,454.38,8058.10202
2018/07/16 16:00:00,454.5,456.23,450.44,452.82,10483.214759999999
2018/07/16 17:00:00,452.87,456.32,451.84,454.22,4956.72882
2018/07/16 18:00:00,454.05,467.99,452.8,466.91,13030.59494
2018/07/16 19:00:00,466.92,469.41,464.72,468.82,10392.292370000001
2018/07/16 20:00:00,468.81,477.68,467.22,473.58,14433.37387
2018/07/16 21:00:00,473.5,476.72,470.1,472.46,11401.334359999999
2018/07/16 22:00:00,472.45,475.9,470.56,471.43,10049.70267
2018/07/16 23:00:00,471.2,474.5,470.1,474.09,8466.86571
2018/07/17 00:00:00,474.2,476.99,472.43,473.6,5248.54895
2018/07/17 01:00:00,473.65,477.02,471.97,472.27,7623.82942
2018/07/17 02:00:00,472.26,480.0,472.21,477.46,8128.39169
2018/07/17 03:00:00,477.37,478.5,473.52,473.81,6723.87449
2018/07/17 04:00:00,473.81,478.85,473.65,477.88,5449.555270000002
2018/07/17 05:00:00,478.22,478.67,475.77,476.01,5720.35374
2018/07/17 06:00:00,476.08,476.37,474.2,475.95,5295.7432899999985
2018/07/17 07:00:00,475.89,477.49,474.8,475.3,4888.49159
2018/07/17 08:00:00,475.3,480.57,473.87,478.49,6671.12083
2018/07/17 09:00:00,478.49,481.03,476.14,479.89,6163.55434
2018/07/17 10:00:00,479.8,480.92,475.56,476.54,5185.83075
2018/07/17 11:00:00,476.48,478.98,476.46,478.9,9644.88661
2018/07/17 12:00:00,478.62,480.23,478.32,479.95,4010.97808
2018/07/17 13:00:00,479.92,482.38,474.23,474.5,7334.81969
2018/07/17 14:00:00,474.49,475.33,471.78,472.26,7029.32298
2018/07/17 15:00:00,472.25,472.4,470.22,472.02,6527.4033899999995
2018/07/17 16:00:00,472.01,474.99,472.0,473.99,6740.73748
2018/07/17 17:00:00,473.82,475.99,473.2,474.68,7845.3942
2018/07/17 18:00:00,474.77,475.25,471.89,472.03,6038.6540399999985
2018/07/17 19:00:00,472.31,474.18,471.79,473.48,5066.60875
